,CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
0,1083,79.0,Male,One year,90.03851331432934,3511.502019258844,No,No,39,No,Electronic check,Yes
1,1117,60.0,Female,One year,80.59089432132964,2901.272195567867,No,Fiber optic,36,No,Bank transfer,Yes
2,437,53.0,Female,Two year,98.6959682964197,6513.9339075637,Yes,No,66,Yes,Bank transfer,No
3,3833,84.0,Female,One year,43.042066535662464,1549.5143952838487,No,No,36,No,Mailed check,Yes
4,1976,69.0,Male,One year,51.93003203267571,2232.9913774050556,No,No,43,No,Credit card,No
5,2818,36.0,Male,Two year,98.16812079596197,6675.432214125414,Yes,DSL,68,Yes,Bank transfer,Yes
6,3132,49.0,Male,One year,101.5241941069561,913.7177469626049,Yes,DSL,9,Yes,Electronic check,No
7,2853,52.0,Female,Month-to-month,55.02151301315095,3906.5274239337177,No,DSL,71,No,Electronic check,Yes
8,4158,30.0,Male,Month-to-month,68.94451812312478,551.5561449849982,Yes,DSL,8,Yes,Mailed check,No
9,498,62.0,Female,Two year,96.05322021044364,3746.075588207302,Yes,Fiber optic,39,No,Electronic check,No
10,1484,67.0,Male,Two year,32.31918880428302,1422.044307388453,Yes,No,44,Yes,Credit card,No
11,1493,20.0,Female,Month-to-month,21.510744558770437,365.68265749909744,Yes,DSL,17,Yes,Credit card,Yes
12,2541,58.0,Female,One year,24.525831387055145,760.3007729987095,Yes,No,31,Yes,Electronic check,No
13,2931,30.0,Male,One year,20.74203078806502,580.7768620658205,No,Fiber optic,28,No,Electronic check,No
14,4326,57.0,Male,One year,49.598321371620806,396.78657097296644,Yes,No,8,Yes,Electronic check,Yes
15,3061,82.0,Female,Month-to-month,33.295227076596696,1198.628174757481,No,DSL,36,No,Mailed check,Yes
16,4819,71.0,Female,One year,63.497137583170066,3174.8568791585035,Yes,No,50,Yes,Bank transfer,Yes
17,4539,80.0,Male,One year,36.15239222992613,253.0667456094829,No,Fiber optic,7,No,Bank transfer,No
18,398,41.0,Male,Month-to-month,30.49043863493113,335.39482498424246,No,Fiber optic,11,Yes,Electronic check,Yes
19,3868,19.0,Male,Month-to-month,74.79463040706094,1944.6603905835843,Yes,DSL,26,Yes,Credit card,No
20,17,50.0,Male,Two year,114.12216350952906,2054.198943171523,No,Fiber optic,18,Yes,Bank transfer,Yes
21,188,76.0,Female,One year,35.676943733500224,1141.6621994720072,No,No,32,Yes,Mailed check,No
22,766,61.0,Female,Two year,74.85389920711889,2769.5942706633987,Yes,DSL,37,No,Bank transfer,Yes
23,3122,46.0,Female,Month-to-month,69.85980323970153,3562.8499652247783,Yes,No,51,No,Electronic check,Yes
24,390,69.0,Female,Two year,98.08258334109281,392.33033336437126,Yes,DSL,4,Yes,Bank transfer,Yes
25,3603,74.0,Female,One year,25.84792636159114,1705.9631398650151,No,Fiber optic,66,Yes,Credit card,No
26,365,18.0,Female,One year,35.20597277780323,563.2955644448517,Yes,DSL,16,No,Mailed check,No
27,4801,78.0,Male,Month-to-month,104.69234181097953,104.69234181097953,Yes,No,1,Yes,Bank transfer,No
28,2584,88.0,Female,Month-to-month,44.122312510939665,2823.8280007001385,Yes,No,64,No,Electronic check,No
29,3471,66.0,Female,Two year,70.43724931391523,4578.42120540449,No,No,65,Yes,Credit card,nan
30,1263,31.0,Female,Two year,44.18696361137903,2386.0960350144674,No,Fiber optic,54,No,Credit card,No
31,4523,46.0,Female,Two year,61.90314170841275,371.41885025047645,No,No,6,Yes,Bank transfer,No
32,2664,85.0,Male,Month-to-month,87.47417274380882,5073.502019140911,Yes,Fiber optic,58,Yes,Credit card,Yes
33,568,30.0,Male,Month-to-month,40.26719063073047,2093.8939127979843,Yes,No,52,No,Credit card,No
34,1149,27.0,Male,One year,70.73435323222162,3819.6550745399677,Yes,Fiber optic,54,Yes,Bank transfer,Yes
35,2758,86.0,Male,Two year,27.02876140299187,1648.7544455825039,Yes,No,61,Yes,Bank transfer,Yes
36,1858,47.0,Male,Two year,93.69795957211517,3747.9183828846067,No,DSL,40,Yes,Mailed check,Yes
37,535,36.0,Female,Month-to-month,45.30844032214269,2220.1135757849916,Yes,DSL,49,No,Bank transfer,Yes
38,3072,63.0,Male,One year,91.21089328535756,3648.435731414302,Yes,Fiber optic,40,Yes,Electronic check,Yes
39,421,19.0,Female,One year,108.20544042787685,6708.737306528365,Yes,Fiber optic,62,No,Bank transfer,Yes
40,549,29.0,Male,Month-to-month,33.85474424446943,880.2233503562052,No,No,26,Yes,Electronic check,Yes
41,1270,42.0,Male,Two year,90.06723448461598,360.2689379384639,Yes,DSL,4,Yes,Credit card,Yes
42,4391,88.0,Male,Month-to-month,38.050711984439715,1445.9270554087093,No,DSL,38,Yes,Bank transfer,Yes
43,3185,87.0,Male,Two year,74.36963584751419,4834.026330088423,No,No,65,Yes,Bank transfer,Yes
44,155,75.0,Male,One year,103.51261633432041,2794.840641026651,No,DSL,27,No,Mailed check,Yes
45,2458,40.0,Female,Two year,97.28449442346685,2626.681349433605,No,Fiber optic,27,Yes,Bank transfer,Yes
46,2119,63.0,Female,Two year,48.88277800310779,293.29666801864676,Yes,No,6,Yes,Mailed check,No
47,399,19.0,Male,One year,107.21104087930271,7397.561820671887,Yes,Fiber optic,69,No,Bank transfer,Yes
48,1872,47.0,Female,Two year,23.905461841255608,0.0,Yes,Fiber optic,0,No,Mailed check,No
49,4551,30.0,Male,One year,27.60340633086345,717.6885646024497,Yes,Fiber optic,26,No,Credit card,No
50,2509,43.0,Female,One year,31.65466877151975,854.6760568310332,Yes,DSL,27,Yes,Mailed check,No
51,360,18.0,Male,Month-to-month,,,No,Fiber optic,48,Yes,nan,No
52,4894,35.0,Female,Two year,68.8062459913472,4610.018481420262,No,No,67,Yes,Bank transfer,Yes
53,2596,23.0,Male,One year,83.16897872265625,1164.3657021171875,No,DSL,14,No,Bank transfer,No
54,1428,32.0,Male,Month-to-month,93.94835856213277,1033.4319441834605,No,No,11,No,Bank transfer,No
55,4695,38.0,Female,Two year,46.356388918551744,324.49472242986224,Yes,Fiber optic,7,No,Electronic check,Yes
56,1028,36.0,Male,Two year,42.885827582349705,385.97244824114733,Yes,DSL,9,Yes,Credit card,Yes
57,2657,63.0,Female,Two year,39.0239883808799,1014.6236979028774,No,DSL,26,Yes,Credit card,Yes
58,4602,88.0,Female,Two year,23.384437083300284,327.382119166204,No,DSL,14,Yes,Electronic check,Yes
59,2404,25.0,Male,One year,33.046236141972614,2214.097821512165,Yes,DSL,67,Yes,Credit card,No
60,4895,70.0,Male,Month-to-month,36.33640219009105,472.37322847118367,Yes,DSL,13,No,Credit card,No
61,1998,82.0,Male,Two year,109.07579670089915,1636.1369505134871,No,No,15,Yes,Electronic check,No
62,1230,80.0,Male,Month-to-month,41.884081695077604,2890.0016369603545,Yes,No,69,No,Mailed check,Yes
63,1881,31.0,Female,One year,93.4115301064419,2335.2882526610474,Yes,Fiber optic,25,Yes,Bank transfer,No
64,3285,32.0,Male,One year,95.45971985577923,5250.284592067857,Yes,No,55,Yes,Electronic check,No
65,1024,24.0,Female,One year,66.07422172611716,726.8164389872887,Yes,DSL,11,Yes,Mailed check,Yes
66,1865,25.0,Male,Two year,89.8615306011121,2156.67673442669,No,Fiber optic,24,Yes,Mailed check,Yes
67,2522,31.0,Female,Two year,52.765502992164286,1424.6685807884357,Yes,Fiber optic,27,Yes,Bank transfer,Yes
68,643,27.0,Female,Two year,50.93076654852976,1324.1999302617737,Yes,DSL,26,No,Bank transfer,No
69,494,25.0,Female,One year,21.832616854519863,1244.4591607076322,Yes,No,57,No,Credit card,Yes
70,4851,18.0,Male,Two year,96.45165610361319,1060.968217139745,No,DSL,11,No,Mailed check,Yes
71,3184,45.0,Female,Two year,67.81653632766916,1017.2480449150373,No,Fiber optic,15,Yes,Mailed check,Yes
72,1855,64.0,Female,Month-to-month,59.836128626674004,3470.4954603470924,Yes,No,58,No,Bank transfer,No
73,1704,29.0,Male,Month-to-month,106.53708015010581,3941.871965553915,No,No,37,Yes,Credit card,Yes
74,4840,55.0,Female,One year,111.44751060090049,4123.557892233318,Yes,DSL,37,No,Mailed check,No
75,4680,39.0,Female,Two year,106.55750626971209,7459.025438879847,No,No,70,Yes,Electronic check,nan
76,4705,61.0,Female,Two year,103.58430248681552,725.0901174077086,No,DSL,7,No,Bank transfer,Yes
77,327,39.0,Female,Month-to-month,91.42634628218487,3199.9221198764703,Yes,Fiber optic,35,No,Electronic check,Yes
78,2083,27.0,Male,Month-to-month,69.00906912143614,759.0997603357976,No,Fiber optic,11,No,Electronic check,Yes
79,176,73.0,Female,Month-to-month,77.02394424458006,2233.6943830928217,Yes,No,29,Yes,Electronic check,No
80,4491,64.0,Female,Month-to-month,90.24971168239118,2978.240485518909,Yes,No,33,No,Bank transfer,No
81,3097,59.0,Male,Month-to-month,37.86317131268853,454.3580557522623,Yes,DSL,12,Yes,Bank transfer,Yes
82,3722,60.0,Male,Month-to-month,50.217015335834084,1757.5955367541928,No,No,35,Yes,Bank transfer,Yes
83,1254,78.0,Male,One year,49.49261338453127,2771.5863495337508,No,No,56,No,Mailed check,Yes
84,3346,49.0,Male,One year,115.41907303347857,7155.982528075671,No,DSL,62,Yes,Mailed check,Yes
85,2006,80.0,Female,Two year,55.75995256864599,278.79976284323,No,DSL,5,Yes,Bank transfer,Yes
86,4579,36.0,Male,Two year,64.6334025720638,4524.338180044466,Yes,DSL,70,Yes,Credit card,No
87,1827,77.0,Male,Two year,114.52962449373847,7100.836718611785,No,No,62,No,Mailed check,Yes
88,1061,54.0,Male,Month-to-month,113.43300082169445,453.7320032867778,No,No,4,Yes,Mailed check,Yes
89,4195,73.0,Female,Two year,57.888156940195536,0.0,Yes,Fiber optic,0,Yes,Mailed check,Yes
90,760,74.0,Female,Two year,96.58659869388082,5602.022724245087,Yes,Fiber optic,58,Yes,Credit card,No
91,2176,21.0,Female,One year,40.292588570198824,80.58517714039765,No,DSL,2,No,Mailed check,No
